id,gender,subCategory,articleType,baseColour,season,year,usage,link,company,location,fabric,fit,location_encoded,gender_encoded
15970,Men,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,http://assets.myntassets.com/v1/images/style/properties/7a5b82d1372a7a5c6de67ae7a314fd91_images.jpg,Turtle,Shimla,spandex,regular,13,2
39386,Men,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,http://assets.myntassets.com/v1/images/style/properties/4850873d0c417e6480a26059f83aac29_images.jpg,Peter,Delhi,polyester,flared,4,2
21379,Men,Bottomwear,Track Pants,Black,Fall,2011.0,Casual,http://assets.myntassets.com/v1/images/style/properties/8153dc35d9a5420eeb93922067137db6_images.jpg,Manchester,Srinagar,cotton,relaxed,14,2
53759,Men,Topwear,Tshirts,Grey,Summer,2012.0,Casual,http://assets.myntassets.com/v1/images/style/properties/Puma-Men-Grey-T-shirt_32668f8a61454d0cc028a808cf21b383_images.jpg,Puma,Jaipur,nylon,slim,8,2
1855,Men,Topwear,Tshirts,Grey,Summer,2011.0,Casual,http://assets.myntassets.com/v1/images/style/properties/9c1b19682ecf926c296f520d5d6e0972_images.jpg,Inkfruit,Hyderabad,nylon,slim,7,2
30805,Men,Topwear,Shirts,Green,Summer,2012.0,Ethnic,http://assets.myntassets.com/v1/images/style/properties/06e9d4231254fdb2c7fe967ad413ad7b_images.jpg,Fabindia,Shimla,spandex,regular,13,2
26960,Women,Topwear,Shirts,Purple,Summer,2012.0,Casual,http://assets.myntassets.com/v1/images/style/properties/45ddbc6a15140556214e15923244755b_images.jpg,Jealous,Kochi,nylon,regular,9,4
12369,Men,Topwear,Shirts,Purple,Fall,2011.0,Formal,http://assets.myntassets.com/v1/images/style/properties/8bc9be576081baae77e8561b1132288f_images.jpg,Reid,Shimla,spandex,regular,13,2
42419,Girls,Topwear,Tops,White,Summer,2012.0,Casual,http://assets.myntassets.com/v1/images/style/properties/f3964f76c78edd85f4512d98b26d52e9_images.jpg,Gini,Srinagar,lace,wrap,14,1
13089,Men,Topwear,Sweatshirts,Grey,Fall,2011.0,Sports,http://assets.myntassets.com/v1/images/style/properties/59912a0287751ff0475c8748dbcf4ea0_images.jpg,ADIDAS,Jaipur,polyester,relaxed,8,2
7990,Men,Topwear,Tshirts,Navy Blue,Fall,2011.0,Sports,http://assets.myntassets.com/v1/images/style/properties/296a8c388d05d67346db88af27d3b763_images.jpg,Fila,Bangalore,modal,regular,1,2
37812,Men,Topwear,Shirts,Navy Blue,Summer,2012.0,Formal,http://assets.myntassets.com/v1/images/style/properties/3af9f145845d8453a066322de35980af_images.jpg,John,Ahmedabad,polyester,regular,0,2
4729,Boys,Topwear,Tshirts,Green,Summer,2011.0,Casual,http://assets.myntassets.com/v1/images/style/properties/0108969213975af06095ff84a0ec0c72_images.jpg,Disney,Bangalore,modal,regular,1,0
56825,Men,Topwear,Shirts,Brown,Summer,2012.0,Casual,http://assets.myntassets.com/v1/images/style/properties/John-Players-Men-Brown-Shirt_7eec3b0568f65dc8f39a534376538551_images.jpg,John,Delhi,nylon,regular,4,2
20099,Women,Topwear,Kurtas,Green,Fall,2011.0,Ethnic,http://assets.myntassets.com/v1/images/style/properties/08a0c29d2ea67ca9449aa54466f6b0a1_images.jpg,Diva,Kolkata,silk,anarkali,10,4
3954,Women,Topwear,Tshirts,Pink,Summer,2011.0,Casual,http://assets.myntassets.com/v1/images/style/properties/b56e261f9206aa95e42c43f4e62d0e5a_images.jpg,Jealous,Kolkata,polyester,boxy,10,4
28690,Women,Topwear,Kurtas,Beige,Summer,2012.0,Ethnic,http://assets.myntassets.com/v1/images/style/properties/df0a23e732654c5e7db3888e39393e79_images.jpg,W,Jaipur,wool,layered,8,4
8580,Men,Topwear,Waistcoat,Grey,Fall,2011.0,Casual,http://assets.myntassets.com/v1/images/style/properties/0d2e2ceaaf6d09d447caad678b2edbe6_images.jpg,Scullers,Lucknow,silk,casual,11,2
18005,Men,Bottomwear,Shorts,Black,Summer,2011.0,Sports,http://assets.myntassets.com/v1/images/style/properties/91ca48e3204f23cd376fad7f186875bf_images.jpg,Puma,Bhopal,linen,casual,2,2
9452,Men,Topwear,Shirts,Red,Fall,2011.0,Formal,http://assets.myntassets.com/v1/images/style/properties/5e557eb0be7c6420f7c7a6bbaa432993_images.jpg,John,Bhopal,polyester,regular,2,2
45856,Women,Topwear,Kurtas,Brown,Summer,2012.0,Ethnic,http://assets.myntassets.com/v1/images/style/properties/fee54b57fcd02b7c07d42b0918025099_images.jpg,Vishudh,Lucknow,cotton,anarkali,11,4
5891,Men,Topwear,Tshirts,Black,Summer,2011.0,Casual,http://assets.myntassets.com/v1/images/style/properties/02e4e32cd9d09052f0ec3d46fa747d39_images.jpg,Puma,Mumbai,nylon,slim,12,2
38630,Women,Topwear,Tshirts,Purple,Summer,2012.0,Casual,http://assets.myntassets.com/v1/images/style/properties/206a0614c4644cd8816576efd47d60d8_images.jpg,Nike,Goa,polyester,boxy,5,4
4943,Men,Topwear,Shirts,White,Summer,2011.0,Casual,http://assets.myntassets.com/v1/images/style/properties/1aae016d0abb224cfc18e6bd9bb01ad1_images.jpg,Gini,Bhopal,viscose,regular,2,2
10866,Men,Topwear,Tshirts,Red,Fall,2011.0,Casual,http://assets.myntassets.com/v1/images/style/properties/b34550bc6415dcd66892de4ef2837fd9_images.jpg,Wrangler,Guwahati,cotton,athletic,6,2
59607,Women,Saree,Sarees,Grey,Fall,2012.0,Ethnic,http://assets.myntassets.com/v1/images/style/properties/FNF-Green-Collection-for-Wedding-Wear-Sari_6c60eef0b8d9cff87cfcd1f73953e5cd_images.jpg,FNF,Jaipur,banarasi,traditional,8,4
15528,Men,Topwear,Tshirts,Black,Fall,2011.0,Casual,http://assets.myntassets.com/v1/images/style/properties/cd16e955e4b6b3f9d7089c15652a3f00_images.jpg,Puma,Ahmedabad,viscose,slim,0,2
54924,Men,Bottomwear,Shorts,Blue,Summer,2012.0,Casual,http://assets.myntassets.com/v1/images/style/properties/Do-u-speak-green-Men-Blue-Shorts_40b6775eae62124195817a64d4ae4a93_images.jpg,Do,Hyderabad,polyester,athletic,7,2
9660,Men,Topwear,Shirts,Pink,Fall,2011.0,Casual,http://assets.myntassets.com/v1/images/style/properties/0be615f02ae1f1cfe78155555a79007c_images.jpg,Indigo,Ahmedabad,polyester,regular,0,2
2288,Women,Topwear,Tshirts,Black,Fall,2010.0,Sports,http://assets.myntassets.com/v1/images/style/properties/135f9aa8141d682fc218393049c70324_images.jpg,Nike,Shimla,cotton,athletic,13,4
23876,Men,Topwear,Sweatshirts,Blue,Fall,2011.0,Casual,http://assets.myntassets.com/v1/images/style/properties/fcd52c6506b43f3af116a62c2ea81204_images.jpg,ADIDAS,Ahmedabad,cotton,cropped,0,2
18237,Men,Topwear,Tshirts,Red,Fall,2011.0,Casual,http://assets.myntassets.com/v1/images/style/properties/eba1c1b241555d8afa3f7232ed2c6933_images.jpg,Manchester,Guwahati,cotton,athletic,6,2
49653,Women,Topwear,Tops,Green,Summer,2012.0,Casual,http://assets.myntassets.com/v1/images/style/properties/fe446adf94f9beb301b61bfc75a70bfa_images.jpg,Mineral,Goa,polyester,wrap,5,4
13419,Men,Topwear,Tshirts,Pink,Summer,2011.0,Casual,http://assets.myntassets.com/v1/images/style/properties/8d7f0bbb0bdefcbcc692bcdf4a6400ee_images.jpg,United,Delhi,modal,regular,4,2
58513,Women,Topwear,Tops,Off White,Summer,2012.0,Casual,http://assets.myntassets.com/v1/images/style/properties/Tonga-Women-Maroon-Top_e5cc855ba59e5640817434d45f9c088d_images.jpg,Tonga,Chennai,cotton,off-shoulder,3,4
52029,Unisex,Topwear,Rain Jacket,Coffee Brown,Summer,2012.0,,http://assets.myntassets.com/v1/images/style/properties/cbc319393da4e3d0eb140d3c8a045d2c_images.jpg,Just,Mumbai,fabric_unknown,regular,12,3
5865,Men,Topwear,Tshirts,Black,Summer,2011.0,Casual,http://assets.myntassets.com/v1/images/style/properties/2d986dbf9e5f64e3ab8471120c557db4_images.jpg,ADIDAS,Mumbai,nylon,slim,12,2
39716,Women,Dress,Dresses,Blue,Summer,2012.0,Casual,http://assets.myntassets.com/v1/images/style/properties/c5b0d7c1f0308be020655bc10ca16427_images.jpg,Arrow,Goa,fabric_unknown,regular,5,4
